ID,zone,length,poligon
691,SB,281.9,N
692,SB,281.69,N
693,SB,281.11,N
694,SB,170.72,N
695,SB,280.63,N
696,SB,280.05,N
697,SB,280.13,N
698,SB,280.17,N
699,SB,280.13,N
700,SB,280.19,N
701,SB,280.24,N
702,SB,280.47,N
703,SB,280.39,N
704,SB,280.6,N
705,SB,281.16,N
706,SB,281.14,N
707,SB,281.46,N
708,SB,280.97,N
709,SB,280.44,N
710,SB,279.96,N
711,SB,279.52,N
712,SB,279.19,N
713,SB,278.65,N
714,SB,278.28,N
715,SB,278.02,N
716,SB,277.27,N
717,SB,277,N
718,SB,275.76,N
719,SB,274.67,N
720,SB,273.86,N
721,BR,118.03,S
722,BR,114.22,S
723,BR,110.62,S
724,BR,107.55,S
725,BR,104.76,S
726,BR,101.38,S
727,BR,97.493,S
728,BR,97.225,S
729,BR,95.543,S
730,BR,97.234,S
731,BR,99.03,S
732,BR,100.85,S
733,BR,108.31,S
734,BR,103.51,S
735,BR,106.72,S
736,BR,110.54,S
737,BR,114.23,S
738,BR,117.4,S
739,BR,121.55,S
740,BR,125.71,S
741,BR,129.91,S
742,BR,134.44,S
743,BR,136.56,S
744,BR,131.42,S
745,BR,126.57,S
746,BR,112.25,S
747,SB,318.15,S
748,SB,322.56,S
749,SB,325.84,S
750,SB,329.77,S
751,SB,332.25,S
752,SB,334.41,S
753,SB,337.39,S
754,SB,340.04,S
